root_id,upstream_set_1_2Ns,set_1_syn_count,const,input_synapses,pct_set_1_input,avg_upstream_synapses
720575940602353632,2,95,1,95,100.0,47.5
720575940603266592,3,161,1,161,100.0,53.666666666666664
720575940603765937,2,42,1,42,100.0,21.0
720575940604027168,1,24,1,24,100.0,24.0
720575940604395436,1,30,1,30,100.0,30.0
720575940604459697,1,13,1,13,100.0,13.0
720575940604470240,4,130,1,130,100.0,32.5
720575940604470956,2,101,1,101,100.0,50.5
720575940604486880,1,8,1,8,100.0,8.0
720575940604791217,2,28,1,28,100.0,14.0
720575940604891360,1,20,1,20,100.0,20.0
720575940604921446,1,9,1,9,100.0,9.0
720575940604934502,1,33,1,33,100.0,33.0
720575940605040300,1,17,1,17,100.0,17.0
720575940605161388,2,76,1,76,100.0,38.0
720575940605443017,1,9,1,9,100.0,9.0
720575940605675808,1,7,1,7,100.0,7.0
720575940605682790,1,14,1,14,100.0,14.0
720575940605694240,3,103,1,103,100.0,34.333333333333336
720575940605707710,1,18,1,18,100.0,18.0
720575940605714878,1,14,1,14,100.0,14.0
720575940605890784,2,28,1,28,100.0,14.0
720575940605971330,1,14,1,14,100.0,14.0
720575940606149321,1,60,1,60,100.0,60.0
720575940606239666,2,66,1,66,100.0,33.0
720575940606254002,3,117,1,117,100.0,39.0
720575940606279179,2,38,1,38,100.0,19.0
720575940606335410,1,10,1,10,100.0,10.0
720575940606343945,2,124,1,124,100.0,62.0
720575940606373321,1,7,1,7,100.0,7.0
720575940606388146,15,793,1,793,100.0,52.86666666666667
720575940606425033,2,72,1,72,100.0,36.0
720575940606526421,1,15,1,15,100.0,15.0
720575940606866377,16,455,1,455,100.0,28.4375
720575940607071106,1,14,1,14,100.0,14.0
720575940607162754,4,377,1,377,100.0,94.25
720575940607253170,1,16,1,16,100.0,16.0
720575940607272649,1,48,1,48,100.0,48.0
720575940607345586,5,356,1,356,100.0,71.2
720575940607375794,1,10,1,10,100.0,10.0
720575940607377586,3,94,1,94,100.0,31.333333333333332
720575940607387314,1,66,1,66,100.0,66.0
720575940607731292,1,24,1,24,100.0,24.0
720575940607802123,1,15,1,15,100.0,15.0
720575940607848203,1,21,1,21,100.0,21.0
720575940607876809,1,21,1,21,100.0,21.0
720575940608295689,1,7,1,7,100.0,7.0
720575940608368818,3,78,1,78,100.0,26.0
