root_id,upstream_set_2_2Ns,set_2_syn_count,const,input_synapses,pct_set_2_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940602353632,2,472,1,472,100.0,236.0,local,0
720575940602815200,1,39,1,39,100.0,39.0,projection,58
720575940603121888,1,5,1,5,100.0,5.0,projection,93
720575940603266592,6,1017,1,1017,100.0,169.5,local,0
720575940603514141,1,7,1,7,100.0,7.0,local,0
720575940603765937,2,198,1,198,100.0,99.0,local,0
720575940604027168,1,102,1,102,100.0,102.0,local,0
720575940604130481,2,23,1,23,100.0,11.5,local,0
720575940604240416,1,42,1,42,100.0,42.0,projection,131
720575940604247985,4,206,1,206,100.0,51.5,local,0
720575940604352172,2,28,1,28,100.0,14.0,projection,4153
720575940604389344,1,16,1,16,100.0,16.0,projection,176
720575940604395436,4,74,1,74,100.0,18.5,projection,535
720575940604418993,1,5,1,5,100.0,5.0,projection,49
720575940604427180,1,24,1,24,100.0,24.0,projection,391
720575940604470240,2,24,1,24,100.0,12.0,projection,4235
720575940604470956,10,322,1,322,100.0,32.2,projection,93
720575940604486880,1,12,1,12,100.0,12.0,projection,141
720575940604565350,1,38,1,38,100.0,38.0,projection,337
720575940604791217,6,844,1,844,100.0,140.66666666666666,local,0
720575940604821950,2,75,1,75,100.0,37.5,projection,353
720575940604852146,2,357,1,357,100.0,178.5,local,0
720575940604908972,1,30,1,30,100.0,30.0,projection,34
720575940604921446,7,239,1,239,100.0,34.142857142857146,projection,670
720575940605013420,1,10,1,10,100.0,10.0,projection,5
720575940605029036,1,14,1,14,100.0,14.0,projection,1643
720575940605040300,3,89,1,89,100.0,29.666666666666668,projection,27
720575940605043121,1,5,1,5,100.0,5.0,projection,566
720575940605105696,1,16,1,16,100.0,16.0,projection,270
720575940605162924,1,6,1,6,100.0,6.0,projection,5
720575940605218220,1,20,1,20,100.0,20.0,projection,9
720575940605341216,1,31,1,31,100.0,31.0,projection,26
720575940605370802,1,25,1,25,100.0,25.0,projection,11
720575940605420674,1,27,1,27,100.0,27.0,projection,42
720575940605589378,3,311,1,311,100.0,103.66666666666667,projection,149
720575940605647234,6,122,1,122,100.0,20.333333333333332,projection,30
720575940605675808,4,67,1,67,100.0,16.75,projection,465
720575940605682790,1,25,1,25,100.0,25.0,local,0
720575940605694240,5,134,1,134,100.0,26.8,local,0
720575940605695665,1,6,1,6,100.0,6.0,local,0
720575940605707710,11,242,1,242,100.0,22.0,local,0
720575940605725873,1,69,1,69,100.0,69.0,projection,438
720575940605726385,3,72,1,72,100.0,24.0,projection,21
720575940605758142,1,12,1,12,100.0,12.0,projection,5648
720575940605842400,7,148,1,148,100.0,21.142857142857142,projection,69
720575940605842656,1,5,1,5,100.0,5.0,projection,701
720575940605877728,2,170,1,170,100.0,85.0,projection,80
720575940605890784,19,546,1,546,100.0,28.736842105263158,local,0
720575940605891040,1,15,1,15,100.0,15.0,projection,118
720575940605938633,2,26,1,26,100.0,13.0,projection,5
720575940605976521,2,183,1,183,100.0,91.5,local,0
720575940606002609,2,166,1,166,100.0,83.0,local,0
720575940606004866,2,57,1,57,100.0,28.5,local,0
720575940606010057,1,12,1,12,100.0,12.0,projection,1143
720575940606182758,1,102,1,102,100.0,102.0,projection,279
720575940606239666,2,177,1,177,100.0,88.5,local,0
720575940606254002,6,483,1,483,100.0,80.5,local,0
720575940606279179,2,181,1,181,100.0,90.5,local,0
720575940606298754,2,46,1,46,100.0,23.0,projection,39
720575940606311772,1,110,1,110,100.0,110.0,projection,75
720575940606335410,2,65,1,65,100.0,32.5,projection,99
720575940606343945,2,553,1,553,100.0,276.5,local,0
720575940606373321,1,21,1,21,100.0,21.0,projection,366
720575940606388146,17,2185,1,2185,100.0,128.52941176470588,local,0
720575940606411698,1,18,1,18,100.0,18.0,projection,64
720575940606526421,1,80,1,80,100.0,80.0,projection,7
720575940606567125,4,993,1,993,100.0,248.25,local,0
720575940606603186,1,10,1,10,100.0,10.0,projection,40
720575940606641842,1,40,1,40,100.0,40.0,projection,260
720575940606667977,1,13,1,13,100.0,13.0,projection,5
720575940606676572,3,84,1,84,100.0,28.0,local,0
720575940606678795,1,40,1,40,100.0,40.0,projection,45
720575940606736988,1,60,1,60,100.0,60.0,projection,433
720575940606743654,1,18,1,18,100.0,18.0,projection,54
720575940606746034,1,9,1,9,100.0,9.0,projection,14
720575940606762686,1,12,1,12,100.0,12.0,projection,2605
720575940606769854,2,45,1,45,100.0,22.5,projection,1630
720575940606801282,3,136,1,136,100.0,45.333333333333336,local,0
720575940606806473,1,25,1,25,100.0,25.0,projection,184
720575940606902108,1,48,1,48,100.0,48.0,projection,31
720575940606947970,1,78,1,78,100.0,78.0,projection,38
720575940607017993,3,54,1,54,100.0,18.0,projection,30
720575940607038386,1,24,1,24,100.0,24.0,projection,96
720575940607040881,1,21,1,21,100.0,21.0,projection,62
720575940607071106,6,125,1,125,100.0,20.833333333333332,local,0
720575940607091979,1,30,1,30,100.0,30.0,projection,105
720575940607152476,2,147,1,147,100.0,73.5,local,0
720575940607162754,13,2765,1,2765,100.0,212.69230769230768,local,0
720575940607170178,1,10,1,10,100.0,10.0,local,0
720575940607225609,2,15,1,15,100.0,7.5,projection,164
720575940607272649,6,285,1,285,100.0,47.5,local,0
720575940607273906,3,152,1,152,100.0,50.666666666666664,projection,79
720575940607345586,4,405,1,405,100.0,101.25,local,0
720575940607347634,2,178,1,178,100.0,89.0,local,0
720575940607377586,9,289,1,289,100.0,32.111111111111114,local,0
720575940607386290,15,321,1,321,100.0,21.4,local,0
720575940607387314,6,566,1,566,100.0,94.33333333333333,local,0
720575940607425604,1,28,1,28,100.0,28.0,projection,110
720575940607451081,1,13,1,13,100.0,13.0,local,0
720575940607471829,1,30,1,30,100.0,30.0,projection,15
720575940607500297,2,138,1,138,100.0,69.0,local,0
720575940607512533,2,62,1,62,100.0,31.0,projection,164
