root_id,upstream_set_3_PSO_SAs,set_3_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940605161388,2,21,1,GLUT,left,156.0,247.0,local,0
720575940605694240,8,78,1,ACH,right,247.0,425.0,local,0
720575940605698080,6,76,1,ACH,right,509.0,227.0,local,0
720575940605971330,2,28,1,ACH,left,364.0,399.0,local,0
720575940606388146,10,136,1,GLUT,left,1331.0,3317.0,local,0
720575940607377586,6,86,1,ACH,right,3173.0,1746.0,local,0
720575940607472988,3,77,1,GABA,right,968.0,761.0,local,0
720575940608370645,2,23,1,SER,right,294.0,249.0,local,0
720575940608475331,10,85,1,ACH,left,464.0,446.0,local,0
720575940608500316,4,51,1,ACH,right,695.0,1592.0,local,0
720575940608707192,3,52,1,ACH,left,294.0,335.0,local,0
720575940608713993,1,9,1,ACH,left,541.0,319.0,local,0
720575940609423299,3,66,1,GLUT,left,1868.0,2959.0,local,0
720575940609922372,11,147,1,ACH,right,1406.0,1518.0,local,0
720575940609937476,11,474,1,ACH,left,1843.0,2293.0,local,0
720575940609993284,2,24,1,ACH,left,1547.0,640.0,local,0
720575940610000964,4,72,1,ACH,right,1401.0,1085.0,local,0
720575940610054980,2,22,1,GABA,left,1778.0,1441.0,local,0
720575940610606126,28,550,1,GABA,left,1529.0,1481.0,local,0
720575940610611246,6,82,1,GLUT,right,1195.0,3639.0,local,0
720575940611366058,2,12,1,ACH,left,647.0,1321.0,local,0
720575940611548878,6,442,1,,left,2303.0,2409.0,local,0
720575940611549902,5,123,1,GABA,left,1068.0,1468.0,local,0
720575940612438514,3,53,1,GABA,right,1643.0,1582.0,local,0
720575940612606105,11,152,1,GABA,left,1353.0,1701.0,local,0
720575940612686233,2,72,1,GABA,right,1216.0,1237.0,local,0
720575940612692633,1,8,1,ACH,left,2734.0,1358.0,local,0
720575940612772915,3,23,1,GABA,right,127.0,291.0,local,0
720575940612888178,1,10,1,,right,2761.0,0.0,local,0
720575940613563117,17,201,1,GLUT,right,1550.0,2579.0,local,0
720575940613640685,8,54,1,ACH,left,636.0,973.0,local,0
720575940613943215,3,38,1,ACH,right,1144.0,808.0,local,0
720575940614714514,4,30,1,ACH,left,1173.0,819.0,local,0
720575940614954536,9,197,1,GABA,right,798.0,1808.0,local,0
720575940615063592,14,728,1,GABA,left,1632.0,3976.0,local,0
720575940615071391,4,89,1,ACH,left,432.0,1207.0,local,0
720575940615197747,4,45,1,ACH,left,5327.0,6.0,local,0
720575940615330265,1,81,1,ACH,left,347.0,480.0,local,0
720575940615410911,6,229,1,GLUT,right,1208.0,1162.0,local,0
720575940615495839,7,173,1,GABA,left,722.0,660.0,local,0
720575940615672130,4,67,1,ACH,right,3105.0,1487.0,local,0
720575940615894614,7,222,1,GABA,left,1225.0,1416.0,local,0
720575940616014092,5,108,1,ACH,left,3886.0,1964.0,local,0
720575940616067890,1,5,1,GABA,right,357.0,784.0,local,0
720575940616071483,1,5,1,GABA,right,427.0,905.0,local,0
720575940616100582,1,8,1,ACH,left,158.0,374.0,local,0
720575940616162866,3,51,1,,left,452.0,346.0,local,0
720575940616169010,7,131,1,ACH,right,388.0,365.0,local,0
