root_id,upstream_set_4_StN_SAs,set_4_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940606388146,3,37,1,GLUT,left,1331.0,3317.0,local,0
720575940607472988,2,18,1,GABA,right,968.0,761.0,local,0
720575940608370645,1,8,1,SER,right,294.0,249.0,local,0
720575940608707192,2,17,1,ACH,left,294.0,335.0,local,0
720575940609922372,1,20,1,ACH,right,1406.0,1518.0,local,0
720575940609937476,2,19,1,ACH,left,1843.0,2293.0,local,0
720575940610054980,6,93,1,GABA,left,1778.0,1441.0,local,0
720575940610173048,2,13,1,ACH,right,1066.0,164.0,local,0
720575940610606126,5,136,1,GABA,left,1529.0,1481.0,local,0
720575940610611246,1,36,1,GLUT,right,1195.0,3639.0,local,0
720575940611548878,1,95,1,,left,2303.0,2409.0,local,0
720575940611549902,1,6,1,GABA,left,1068.0,1468.0,local,0
720575940612289010,1,5,1,SER,left,983.0,100.0,projection,39
720575940612606105,5,47,1,GABA,left,1353.0,1701.0,local,0
720575940613563117,3,26,1,GLUT,right,1550.0,2579.0,local,0
720575940613640685,2,19,1,ACH,left,636.0,973.0,local,0
720575940615063592,3,25,1,GABA,left,1632.0,3976.0,local,0
720575940615197747,4,80,1,ACH,left,5327.0,6.0,local,0
720575940615330265,2,16,1,ACH,left,347.0,480.0,local,0
720575940615410911,2,75,1,GLUT,right,1208.0,1162.0,local,0
720575940616014092,2,44,1,ACH,left,3886.0,1964.0,local,0
720575940616162866,1,6,1,,left,452.0,346.0,local,0
720575940616497477,1,5,1,ACH,right,407.0,215.0,local,0
720575940617393625,1,6,1,ACH,left,1168.0,1086.0,local,0
720575940617493597,1,6,1,,left,209.0,265.0,local,0
720575940617494877,1,36,1,ACH,right,1563.0,1228.0,local,0
720575940617678566,4,48,1,ACH,left,4781.0,7687.0,local,0
720575940617787963,3,40,1,ACH,right,4886.0,7487.0,local,0
720575940617799253,1,7,1,ACH,left,351.0,262.0,local,0
720575940617833265,1,11,1,ACH,right,201.0,345.0,local,0
720575940618165019,8,218,1,ACH,left,6700.0,19.0,local,0
720575940618165787,1,5,1,ACH,right,1385.0,696.0,local,0
720575940618166811,1,6,1,ACH,right,1691.0,1319.0,local,0
720575940618472261,1,6,1,ACH,left,1382.0,1124.0,local,0
720575940618539810,2,104,1,ACH,left,10122.0,34.0,local,0
720575940619016059,3,51,1,GLUT,left,2371.0,3072.0,local,0
720575940619076731,3,30,1,GLUT,left,1070.0,2655.0,local,0
720575940619671616,1,24,1,ACH,left,1850.0,3127.0,local,0
720575940619741104,2,13,1,ACH,right,603.0,1162.0,local,0
720575940620025620,2,17,1,ACH,right,913.0,6.0,local,0
720575940620182151,1,12,1,GABA,left,1244.0,1235.0,local,0
720575940620335269,6,126,1,GABA,right,1615.0,1286.0,local,0
720575940620353300,1,13,1,GABA,left,4013.0,3935.0,local,0
720575940620627035,1,8,1,ACH,left,1023.0,1123.0,local,0
720575940620692974,1,12,1,ACH,right,345.0,377.0,local,0
720575940620699162,1,6,1,,left,79.0,204.0,local,0
720575940621013640,1,7,1,ACH,left,295.0,403.0,local,0
