root_id,upstream_set_5_2Ns,set_5_syn_count,const,input_synapses_x,%_set_5_input,input_synapses_y,input_synapses,pct_set_5_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940603201452,1,18,1,18,100.0,18,0,0.0,18.0,projection,350
720575940604247985,2,13,1,13,100.0,13,0,0.0,6.5,local,0
720575940604486880,1,6,1,6,100.0,6,0,0.0,6.0,projection,141
720575940604791217,3,188,1,188,100.0,188,0,0.0,62.666666666666664,local,0
720575940605218220,1,72,1,72,100.0,72,0,0.0,72.0,projection,9
720575940605443017,2,93,1,93,100.0,93,0,0.0,46.5,local,0
720575940605647234,2,72,1,72,100.0,72,0,0.0,36.0,projection,30
720575940605682790,1,775,1,775,100.0,775,0,0.0,775.0,local,0
720575940605694240,1,96,1,96,100.0,96,0,0.0,96.0,local,0
720575940605698080,1,30,1,30,100.0,30,0,0.0,30.0,local,0
720575940605707710,2,59,1,59,100.0,59,0,0.0,29.5,local,0
720575940605714878,1,84,1,84,100.0,84,0,0.0,84.0,local,0
720575940605890784,2,146,1,146,100.0,146,0,0.0,73.0,local,0
720575940606239666,1,45,1,45,100.0,45,0,0.0,45.0,local,0
720575940606254002,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940606425033,1,66,1,66,100.0,66,0,0.0,66.0,local,0
720575940606428850,1,21,1,21,100.0,21,0,0.0,21.0,local,0
720575940606676572,1,48,1,48,100.0,48,0,0.0,48.0,local,0
720575940606866377,4,188,1,188,100.0,188,0,0.0,47.0,local,0
720575940606867145,1,84,1,84,100.0,84,0,0.0,84.0,projection,16
720575940607071106,2,80,1,80,100.0,80,0,0.0,40.0,local,0
720575940607162754,5,680,1,680,100.0,680,0,0.0,136.0,local,0
720575940607225609,1,5,1,5,100.0,5,0,0.0,5.0,projection,164
720575940607272649,2,290,1,290,100.0,290,0,0.0,145.0,local,0
720575940607345586,3,140,1,140,100.0,140,0,0.0,46.666666666666664,local,0
720575940607375794,2,27,1,27,100.0,27,0,0.0,13.5,local,0
720575940607377586,1,48,1,48,100.0,48,0,0.0,48.0,local,0
720575940607386290,3,75,1,75,100.0,75,0,0.0,25.0,local,0
720575940607472988,3,131,1,131,100.0,131,0,0.0,43.666666666666664,local,0
720575940607874315,1,8,1,8,100.0,8,0,0.0,8.0,projection,70
720575940607877833,1,7,1,7,100.0,7,0,0.0,7.0,local,0
720575940608188427,1,60,1,60,100.0,60,0,0.0,60.0,local,0
720575940608239371,1,55,1,55,100.0,55,0,0.0,55.0,local,0
720575940608370645,1,80,1,80,100.0,80,0,0.0,80.0,local,0
720575940608400323,1,18,1,18,100.0,18,0,0.0,18.0,projection,373
720575940608451420,2,38,1,38,100.0,38,0,0.0,19.0,local,0
