root_id,upstream_set_6_2Ns,set_6_syn_count,const,input_synapses_x,%_set_6_input,input_synapses_y,input_synapses,pct_set_6_input,avg_upstream_synapses
720575940604459697,1,5,1,5,100.0,5,0,0.0,5.0
720575940604791217,1,32,1,32,100.0,32,0,0.0,32.0
720575940605300140,2,78,1,78,100.0,78,0,0.0,39.0
720575940605443017,1,32,1,32,100.0,32,0,0.0,32.0
720575940605647234,1,33,1,33,100.0,33,0,0.0,33.0
720575940605682790,1,930,1,930,100.0,930,0,0.0,930.0
720575940605694240,1,64,1,64,100.0,64,0,0.0,64.0
720575940605698080,1,8,1,8,100.0,8,0,0.0,8.0
720575940605890784,4,167,1,167,100.0,167,0,0.0,41.75
720575940605971330,1,5,1,5,100.0,5,0,0.0,5.0
720575940606676572,1,24,1,24,100.0,24,0,0.0,24.0
720575940606720265,1,9,1,9,100.0,9,0,0.0,9.0
720575940606866377,1,36,1,36,100.0,36,0,0.0,36.0
720575940607152476,1,46,1,46,100.0,46,0,0.0,46.0
720575940607162754,3,477,1,477,100.0,477,0,0.0,159.0
720575940607166731,1,128,1,128,100.0,128,0,0.0,128.0
720575940607272649,1,13,1,13,100.0,13,0,0.0,13.0
720575940607345586,1,42,1,42,100.0,42,0,0.0,42.0
720575940607377586,7,520,1,520,100.0,520,0,0.0,74.28571428571429
720575940607386290,2,20,1,20,100.0,20,0,0.0,10.0
720575940607472988,3,366,1,366,100.0,366,0,0.0,122.0
720575940608370645,2,103,1,103,100.0,103,0,0.0,51.5
720575940608500316,3,73,1,73,100.0,73,0,0.0,24.333333333333332
720575940608713993,2,127,1,127,100.0,127,0,0.0,63.5
720575940608735241,1,14,1,14,100.0,14,0,0.0,14.0
720575940609030776,1,35,1,35,100.0,35,0,0.0,35.0
720575940609133269,2,22,1,22,100.0,22,0,0.0,11.0
720575940609425874,1,11,1,11,100.0,11,0,0.0,11.0
720575940609592270,5,355,1,355,100.0,355,0,0.0,71.0
720575940609922372,10,1254,1,1254,100.0,1254,0,0.0,125.4
720575940609937476,3,118,1,118,100.0,118,0,0.0,39.333333333333336
720575940609993284,4,499,1,499,100.0,499,0,0.0,124.75
720575940610000964,2,34,1,34,100.0,34,0,0.0,17.0
720575940610001220,1,7,1,7,100.0,7,0,0.0,7.0
720575940610004437,1,5,1,5,100.0,5,0,0.0,5.0
720575940610054980,6,226,1,226,100.0,226,0,0.0,37.666666666666664
720575940610103906,1,6,1,6,100.0,6,0,0.0,6.0
720575940610173048,6,664,1,664,100.0,664,0,0.0,110.66666666666667
720575940610356849,1,36,1,36,100.0,36,0,0.0,36.0
720575940610524339,4,99,1,99,100.0,99,0,0.0,24.75
720575940610590869,2,66,1,66,100.0,66,0,0.0,33.0
720575940610604334,1,84,1,84,100.0,84,0,0.0,84.0
720575940610606126,2,227,1,227,100.0,227,0,0.0,113.5
720575940610610841,2,65,1,65,100.0,65,0,0.0,32.5
720575940610677828,1,100,1,100,100.0,100,0,0.0,100.0
720575940610847973,1,15,1,15,100.0,15,0,0.0,15.0
720575940611018865,2,317,1,317,100.0,317,0,0.0,158.5
720575940611157746,1,18,1,18,100.0,18,0,0.0,18.0
720575940611160930,2,126,1,126,100.0,126,0,0.0,63.0
720575940611366058,2,33,1,33,100.0,33,0,0.0,16.5
720575940611388595,4,928,1,928,100.0,928,0,0.0,232.0
720575940611436408,2,34,1,34,100.0,34,0,0.0,17.0
720575940611475698,2,61,1,61,100.0,61,0,0.0,30.5
720575940611549902,3,123,1,123,100.0,123,0,0.0,41.0
720575940611715813,1,7,1,7,100.0,7,0,0.0,7.0
720575940611858906,1,7,1,7,100.0,7,0,0.0,7.0
720575940612208858,5,1103,1,1103,100.0,1103,0,0.0,220.6
720575940612256938,1,40,1,40,100.0,40,0,0.0,40.0
720575940612270307,5,313,1,313,100.0,313,0,0.0,62.6
720575940612337331,1,18,1,18,100.0,18,0,0.0,18.0
720575940612354034,2,41,1,41,100.0,41,0,0.0,20.5
720575940612357618,2,58,1,58,100.0,58,0,0.0,29.0
720575940612423922,5,300,1,300,100.0,300,0,0.0,60.0
720575940612438514,1,56,1,56,100.0,56,0,0.0,56.0
720575940612470755,1,30,1,30,100.0,30,0,0.0,30.0
720575940612478383,5,443,1,443,100.0,443,0,0.0,88.6
720575940612554393,1,8,1,8,100.0,8,0,0.0,8.0
720575940612572131,1,9,1,9,100.0,9,0,0.0,9.0
720575940612692633,6,483,1,483,100.0,483,0,0.0,80.5
720575940612692889,1,32,1,32,100.0,32,0,0.0,32.0
720575940612772915,1,7,1,7,100.0,7,0,0.0,7.0
720575940612819763,1,18,1,18,100.0,18,0,0.0,18.0
720575940612984981,1,13,1,13,100.0,13,0,0.0,13.0
720575940613004402,2,75,1,75,100.0,75,0,0.0,37.5
720575940613120721,5,751,1,751,100.0,751,0,0.0,150.2
720575940613170385,4,68,1,68,100.0,68,0,0.0,17.0
720575940613213615,1,5,1,5,100.0,5,0,0.0,5.0
720575940613222195,2,56,1,56,100.0,56,0,0.0,28.0
720575940613563117,5,768,1,768,100.0,768,0,0.0,153.6
720575940613640685,6,576,1,576,100.0,576,0,0.0,96.0
720575940613670893,2,24,1,24,100.0,24,0,0.0,12.0
720575940613695346,5,250,1,250,100.0,250,0,0.0,50.0
720575940613746087,1,7,1,7,100.0,7,0,0.0,7.0
720575940613825814,2,37,1,37,100.0,37,0,0.0,18.5
720575940613929391,1,24,1,24,100.0,24,0,0.0,24.0
720575940613943215,1,44,1,44,100.0,44,0,0.0,44.0
720575940613944994,1,48,1,48,100.0,48,0,0.0,48.0
720575940614099818,1,7,1,7,100.0,7,0,0.0,7.0
720575940614128691,1,35,1,35,100.0,35,0,0.0,35.0
720575940614635175,2,110,1,110,100.0,110,0,0.0,55.0
720575940614660519,2,28,1,28,100.0,28,0,0.0,14.0
720575940614714514,7,896,1,896,100.0,896,0,0.0,128.0
720575940614734754,1,10,1,10,100.0,10,0,0.0,10.0
