root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940628131778,['pharyngeal GRN'],PRW.130,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,261,759
720575940622199593,['pharyngeal GRN'],PRW.175,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,304,624
720575940610259406,['pharyngeal GRN'],GNG.1917,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],right,114,761
720575940617828766,['pharyngeal GRN'],PRW.171,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,180,585
720575940610981362,['pharyngeal GRN'],PRW.61,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,535,1875
720575940624266061,['pharyngeal GRN'],PRW.161,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,185,1250
720575940616308921,[],GNG.2577,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,47,138
720575940621916952,[],PRW.170,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,138,1252
720575940637130985,[],PRW.71,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,321,1463
720575940627454569,['pharyngeal GRN'],PRW.92,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'; 'rich_club'],left,755,1318
720575940629009468,['pharyngeal GRN'],GNG.1322,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,174,702
720575940633165980,['pharyngeal GRN'],PRW.94,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,431,1006
720575940637165028,[],PRW.405,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],right,34,148
720575940626014218,['pharyngeal GRN'],GNG.1928,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,128,656
720575940617121819,['pharyngeal GRN'],PRW.122,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,330,766
720575940624948867,['pharyngeal GRN'],PRW.194,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,285,495
720575940618788944,['pharyngeal GRN'],PRW.GNG.18,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,438,1099
720575940621689880,['pharyngeal GRN'],PRW.135,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,205,723
720575940616616861,['pharyngeal GRN'],GNG.1178,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,168,1303
