root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,in_question
720575940627219272,[],GNG.2752,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'],left,90,41,
720575940625173006,[],GNG.2367,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],left,59,115,
720575940622406694,[],GNG.2327,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,57,181,
720575940623458633,[],GNG.2371,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,65,116,
720575940612819763,[],GNG.2394,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],left,72,138,
720575940635005303,[],GNG.2294,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],left,53,176,
720575940633660314,[],GNG.2248,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,72,153,
720575940634667234,[],GNG.2217,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,90,153,
720575940611351193,[],GNG.2232,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,92,159,
720575940610103906,[],GNG.2398,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],left,79,140,
720575940617668662,[],GNG.2575,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],right,48,150,
