root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940611959011,[],PRW.426,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],left,0,249
720575940613004402,['proboscis sensory neuron'],GNG.1409,GLUT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,254,708
720575940637896245,[],PRW.269,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,15,245
720575940622198772,[],PRW.425,OCT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,17,114
720575940619652033,[],PRW.330,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,23,282
720575940621207517,[],PRW.382,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],left,60,146
720575940624905572,[],PRW.369,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,7,351
720575940620910716,[],PRW.409,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],left,0,315
720575940638357813,[],PRW.251,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],left,0,362
720575940605161388,[],GNG.1752,GLUT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,156,247
720575940607166731,[],PRW.292,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,16,299
720575940633579360,[],PRW.397,OCT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],left,7,175
